Calendar Date,Date Key,Weekday Desc,Calendar Month,Calendar Month Desc,Calendar Year,Fiscal Variant,Fiscal Variant Desc,Fiscal Year,Fiscal Month,Fiscal Week
1/07/2016,20160701,Friday,7,July,2016,Z1,Factory Calendar,2016,12,53
2/07/2016,20160702,Saturday,7,July,2016,Z1,Factory Calendar,2016,12,53
3/07/2016,20160703,Sunday,7,July,2016,Z1,Factory Calendar,2017,1,1
4/07/2016,20160704,Monday,7,July,2016,Z1,Factory Calendar,2017,1,1
5/07/2016,20160705,Tuesday,7,July,2016,Z1,Factory Calendar,2017,1,1
6/07/2016,20160706,Wednesday,7,July,2016,Z1,Factory Calendar,2017,1,1
7/07/2016,20160707,Thursday,7,July,2016,Z1,Factory Calendar,2017,1,1
8/07/2016,20160708,Friday,7,July,2016,Z1,Factory Calendar,2017,1,1
9/07/2016,20160709,Saturday,7,July,2016,Z1,Factory Calendar,2017,1,1
10/07/2016,20160710,Sunday,7,July,2016,Z1,Factory Calendar,2017,1,2
11/07/2016,20160711,Monday,7,July,2016,Z1,Factory Calendar,2017,1,2
12/07/2016,20160712,Tuesday,7,July,2016,Z1,Factory Calendar,2017,1,2
13/07/2016,20160713,Wednesday,7,July,2016,Z1,Factory Calendar,2017,1,2
14/07/2016,20160714,Thursday,7,July,2016,Z1,Factory Calendar,2017,1,2
15/07/2016,20160715,Friday,7,July,2016,Z1,Factory Calendar,2017,1,2
16/07/2016,20160716,Saturday,7,July,2016,Z1,Factory Calendar,2017,1,2
17/07/2016,20160717,Sunday,7,July,2016,Z1,Factory Calendar,2017,1,3
18/07/2016,20160718,Monday,7,July,2016,Z1,Factory Calendar,2017,1,3
19/07/2016,20160719,Tuesday,7,July,2016,Z1,Factory Calendar,2017,1,3
20/07/2016,20160720,Wednesday,7,July,2016,Z1,Factory Calendar,2017,1,3
21/07/2016,20160721,Thursday,7,July,2016,Z1,Factory Calendar,2017,1,3
22/07/2016,20160722,Friday,7,July,2016,Z1,Factory Calendar,2017,1,3
23/07/2016,20160723,Saturday,7,July,2016,Z1,Factory Calendar,2017,1,3
24/07/2016,20160724,Sunday,7,July,2016,Z1,Factory Calendar,2017,1,4
25/07/2016,20160725,Monday,7,July,2016,Z1,Factory Calendar,2017,1,4
26/07/2016,20160726,Tuesday,7,July,2016,Z1,Factory Calendar,2017,1,4
27/07/2016,20160727,Wednesday,7,July,2016,Z1,Factory Calendar,2017,1,4
28/07/2016,20160728,Thursday,7,July,2016,Z1,Factory Calendar,2017,1,4
29/07/2016,20160729,Friday,7,July,2016,Z1,Factory Calendar,2017,1,4
30/07/2016,20160730,Saturday,7,July,2016,Z1,Factory Calendar,2017,1,4
31/07/2016,20160731,Sunday,7,July,2016,Z1,Factory Calendar,2017,1,5
1/08/2016,20160801,Monday,8,August,2016,Z1,Factory Calendar,2017,1,5
2/08/2016,20160802,Tuesday,8,August,2016,Z1,Factory Calendar,2017,1,5
3/08/2016,20160803,Wednesday,8,August,2016,Z1,Factory Calendar,2017,1,5
4/08/2016,20160804,Thursday,8,August,2016,Z1,Factory Calendar,2017,1,5
